text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,
Flu @ work wish me luck for the next 8 hours 😤🤪🤙🏻,FALSE,1,NA,3/5/19 17:02,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",imikeham,0,FALSE,FALSE,NA,NA,,,
I have the flu and am only good at staring at screens. Binge recommendation?,FALSE,0,NA,3/5/19 17:01,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",KaseyBoes,0,FALSE,FALSE,NA,NA,,,
So I recently had the flu. I left work immediately when I started feeling sick and I didn't come back until the doc… https://t.co/ejrXPNQE7P,FALSE,0,NA,3/5/19 17:00,TRUE,NA,1.10298E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",jdweinstock,0,FALSE,FALSE,NA,NA,,,
Just watched the pro-vax hearing from Washington. In 60 years I have never had a flu vaccine OR the flu.,FALSE,0,NA,3/5/19 17:00,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",MotleyMarlene,0,FALSE,FALSE,NA,NA,,,
@JGunlock Garrett returned to school yesterday after being out last week with the flu &amp; taking Tamiflu. He has neve… https://t.co/SuNnGHndwG,FALSE,0,JGunlock,3/5/19 17:00,TRUE,NA,1.10298E+18,22133515,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",autism_mommie,0,FALSE,FALSE,NA,NA,,,
"Watch now as Dr. Jeremy Brown of @NIH discusses the history of the #flu virus, the Great Flu of 1918, and our prepa… https://t.co/f5zbiCzqsF",FALSE,3,NA,3/5/19 17:00,TRUE,NA,1.10298E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",USNatArchives,3,FALSE,FALSE,NA,NA,,,
"Flu season began in October and since then, Virginia has spent nine weeks at the widespread level with confirmed ca… https://t.co/JQPrb897Y1",FALSE,0,NA,3/5/19 17:00,TRUE,NA,1.10298E+18,NA,"<a href=\http://www.socialnewsdesk.com\"" rel=\""nofollow\"">SocialNewsDesk</a>""",WFXRnews,0,FALSE,FALSE,NA,NA,,,
"Time for my fav game: Is it food poisoning, the stomach flu, an EDS flareup, or an issue with the ulcer you’ve gott… https://t.co/btj9nCpTk4",FALSE,0,NA,3/5/19 17:00,TRUE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",ishkwaakiiwan,0,FALSE,FALSE,NA,NA,,,
I’ve officially had the flu for a week now. And I’ve officially been on bed rest for three days. And I’m so goddamn bored.,FALSE,0,NA,3/5/19 16:59,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",MariaPianelli,0,FALSE,FALSE,NA,NA,,,
caught their flu somehow!,FALSE,1,melodramadison,3/5/19 16:59,FALSE,1.10298E+18,1.10298E+18,8.8672E+17,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",melodramadison,0,FALSE,FALSE,NA,NA,,,
I got the flu… fucking fantastic! 😷,FALSE,1,NA,3/5/19 16:58,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Dingelle,0,FALSE,FALSE,NA,NA,,,
I have the flu I’m contaminated,FALSE,0,NA,3/5/19 16:58,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",straudberry,0,FALSE,FALSE,NA,NA,,,
MIT Technology Review lists dementia (alongside such heavy hitters as plastic in the ocean &amp; pandemic flu) among th… https://t.co/ZGnHg8SMma,FALSE,0,NA,3/5/19 16:58,TRUE,NA,1.10298E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",UNCGeriatrics,0,FALSE,FALSE,NA,NA,,,
